price,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
3000,6,6,6,6,6,22,22,22,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0
3000,6,6,6,6,6,22,22,22,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20
3000,6,6,6,6,6,22,22,22,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,0,6,6,6,6,6,22,22,22,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,6,6,6,6,6,22,22,22,20,20,20,20,20,20,20,20,0
3000,10,10,10,10,10,10,10,6,6,6,6,6,22,22,22,0,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,0,6,6,6,6,6,22,22,22,20,20,20,20,20,20,20,20
3000,0,10,10,10,10,10,10,10,6,6,6,6,6,22,22,22,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,6,6,6,6,6,22,22,22,0
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,6,6,6,6,6,22,22,22
3000,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,6,6,6,6,6,22,22,22
3000,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,6,6,6,6,6,22,22,22
3000,16,16,16,16,16,16,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0,0
3000,16,16,16,16,16,16,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0,0
3000,16,16,16,16,16,16,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20,0
3000,16,16,16,16,16,16,10,10,10,10,10,10,10,0,0,0,20,20,20,20,20,20,20,20
3000,16,16,16,16,16,16,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0
3000,16,16,16,16,16,16,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0
3000,16,16,16,16,16,16,0,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20
3000,16,16,16,16,16,16,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0
3000,16,16,16,16,16,16,0,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20
3000,16,16,16,16,16,16,0,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,0,16,16,16,16,16,16,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0
3000,0,16,16,16,16,16,16,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0
3000,0,16,16,16,16,16,16,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20
3000,0,16,16,16,16,16,16,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0
3000,0,16,16,16,16,16,16,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20
3000,0,16,16,16,16,16,16,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,0,0,16,16,16,16,16,16,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0
3000,0,0,16,16,16,16,16,16,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20
3000,0,0,16,16,16,16,16,16,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,0,0,0,16,16,16,16,16,16,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0,0,0
3000,10,10,10,10,10,10,10,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20,0,0
3000,10,10,10,10,10,10,10,16,16,16,16,16,16,0,0,20,20,20,20,20,20,20,20,0
3000,10,10,10,10,10,10,10,16,16,16,16,16,16,0,0,0,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0,0
3000,10,10,10,10,10,10,10,0,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20,0
3000,10,10,10,10,10,10,10,0,16,16,16,16,16,16,0,0,20,20,20,20,20,20,20,20
3000,0,10,10,10,10,10,10,10,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0,0
3000,0,10,10,10,10,10,10,10,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20,0
3000,0,10,10,10,10,10,10,10,16,16,16,16,16,16,0,0,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,0,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0
3000,10,10,10,10,10,10,10,0,0,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20
3000,0,10,10,10,10,10,10,10,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0
3000,0,10,10,10,10,10,10,10,0,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20
3000,0,0,10,10,10,10,10,10,10,16,16,16,16,16,16,20,20,20,20,20,20,20,20,0
3000,0,0,10,10,10,10,10,10,10,16,16,16,16,16,16,0,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,0,0,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20
3000,0,10,10,10,10,10,10,10,0,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20
3000,0,0,10,10,10,10,10,10,10,0,16,16,16,16,16,16,20,20,20,20,20,20,20,20
3000,0,0,0,10,10,10,10,10,10,10,16,16,16,16,16,16,20,20,20,20,20,20,20,20
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0,0,0
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16,0,0
3000,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0,0
3000,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0,0
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0,16,16,16,16,16,16,0
3000,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16,0
3000,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0
3000,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16,0
3000,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0
3000,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0
3000,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0,0,16,16,16,16,16,16
3000,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0,0,16,16,16,16,16,16
3000,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16
3000,10,10,10,10,10,10,10,0,0,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16
3000,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,0,16,16,16,16,16,16
3000,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16
3000,0,10,10,10,10,10,10,10,0,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16
3000,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,0,16,16,16,16,16,16
3000,0,0,10,10,10,10,10,10,10,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16
3000,0,0,0,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,16,16,16,16,16,16
