# 19/02/2020 02:35:04 PM : Aggregated Curves - EPEX Spot Market Auction - Germany/Luxembourg
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
20/02/2020,8,4,1,-500.00,19685,Sell
20/02/2020,8,4,1,-499.00,19685,Sell
20/02/2020,8,4,1,-498.90,19890,Sell
20/02/2020,8,4,1,-498.10,19890,Sell
20/02/2020,8,4,1,-498.00,19910,Sell
20/02/2020,8,4,1,-497.90,19910,Sell
20/02/2020,8,4,1,-495.00,19910,Sell
20/02/2020,8,4,1,-490.00,19910,Sell
20/02/2020,8,4,1,-480.10,19910,Sell
20/02/2020,8,4,1,-480.00,19910,Sell
20/02/2020,8,4,1,-460.00,19911,Sell
20/02/2020,8,4,1,-450.00,19911,Sell
20/02/2020,8,4,1,-449.00,19911,Sell
20/02/2020,8,4,1,-440.00,19912,Sell
20/02/2020,8,4,1,-425.00,19912,Sell
20/02/2020,8,4,1,-420.00,19912,Sell
20/02/2020,8,4,1,-400.10,19913,Sell
20/02/2020,8,4,1,-400.00,19924,Sell
20/02/2020,8,4,1,-399.00,19924,Sell
20/02/2020,8,4,1,-390.00,19925,Sell
20/02/2020,8,4,1,-380.00,19925,Sell
20/02/2020,8,4,1,-375.00,19925,Sell
20/02/2020,8,4,1,-374.00,19925,Sell
20/02/2020,8,4,1,-370.00,19925,Sell
20/02/2020,8,4,1,-360.00,19926,Sell
20/02/2020,8,4,1,-350.10,19926,Sell
20/02/2020,8,4,1,-350.00,19933,Sell
20/02/2020,8,4,1,-349.00,19933,Sell
20/02/2020,8,4,1,-340.00,19933,Sell
20/02/2020,8,4,1,-329.00,19934,Sell
20/02/2020,8,4,1,-325.00,19934,Sell
20/02/2020,8,4,1,-320.00,19934,Sell
20/02/2020,8,4,1,-317.00,19934,Sell
20/02/2020,8,4,1,-309.00,19934,Sell
20/02/2020,8,4,1,-300.00,19935,Sell
20/02/2020,8,4,1,-299.00,19935,Sell
20/02/2020,8,4,1,-289.00,19935,Sell
20/02/2020,8,4,1,-287.00,19935,Sell
20/02/2020,8,4,1,-286.90,19935,Sell
20/02/2020,8,4,1,-284.00,19935,Sell
20/02/2020,8,4,1,-280.00,19935,Sell
20/02/2020,8,4,1,-275.00,19935,Sell
20/02/2020,8,4,1,-269.00,19936,Sell
20/02/2020,8,4,1,-260.10,19936,Sell
20/02/2020,8,4,1,-259.00,19936,Sell
20/02/2020,8,4,1,-250.10,19936,Sell
20/02/2020,8,4,1,-250.00,21391,Sell
20/02/2020,8,4,1,-200.10,21391,Sell
20/02/2020,8,4,1,-200.00,21406,Sell
20/02/2020,8,4,1,-173.85,21406,Sell
20/02/2020,8,4,1,-173.80,21714,Sell
20/02/2020,8,4,1,-170.00,21714,Sell
20/02/2020,8,4,1,-169.90,21980,Sell
20/02/2020,8,4,1,-153.00,21980,Sell
20/02/2020,8,4,1,-152.93,21980,Sell
20/02/2020,8,4,1,-152.90,22014,Sell
20/02/2020,8,4,1,-120.00,22014,Sell
20/02/2020,8,4,1,-119.90,22017,Sell
20/02/2020,8,4,1,-100.10,22017,Sell
20/02/2020,8,4,1,-100.00,22257,Sell
20/02/2020,8,4,1,-99.96,22259,Sell
20/02/2020,8,4,1,-99.90,22289,Sell
20/02/2020,8,4,1,-94.70,22289,Sell
20/02/2020,8,4,1,-94.60,22313,Sell
20/02/2020,8,4,1,-92.10,22313,Sell
20/02/2020,8,4,1,-92.00,22335,Sell
20/02/2020,8,4,1,-86.00,22335,Sell
20/02/2020,8,4,1,-85.90,22347,Sell
20/02/2020,8,4,1,-82.00,22347,Sell
20/02/2020,8,4,1,-81.90,22352,Sell
20/02/2020,8,4,1,-81.00,22352,Sell
20/02/2020,8,4,1,-80.90,22354,Sell
20/02/2020,8,4,1,-80.10,22354,Sell
20/02/2020,8,4,1,-80.04,22382,Sell
20/02/2020,8,4,1,-80.00,22539,Sell
20/02/2020,8,4,1,-79.90,22545,Sell
20/02/2020,8,4,1,-79.80,22545,Sell
20/02/2020,8,4,1,-79.70,22768,Sell
20/02/2020,8,4,1,-79.10,22768,Sell
20/02/2020,8,4,1,-79.00,22779,Sell
20/02/2020,8,4,1,-78.90,22789,Sell
20/02/2020,8,4,1,-78.10,22789,Sell
20/02/2020,8,4,1,-78.00,22832,Sell
20/02/2020,8,4,1,-77.10,22832,Sell
20/02/2020,8,4,1,-77.00,22840,Sell
20/02/2020,8,4,1,-76.90,22842,Sell
20/02/2020,8,4,1,-76.00,22842,Sell
20/02/2020,8,4,1,-75.90,22892,Sell
20/02/2020,8,4,1,-75.22,22892,Sell
20/02/2020,8,4,1,-75.20,22924,Sell
20/02/2020,8,4,1,-73.00,22924,Sell
20/02/2020,8,4,1,-72.90,22929,Sell
20/02/2020,8,4,1,-72.00,22929,Sell
20/02/2020,8,4,1,-71.90,22931,Sell
20/02/2020,8,4,1,-71.00,22931,Sell
20/02/2020,8,4,1,-70.90,22933,Sell
20/02/2020,8,4,1,-70.00,22933,Sell
20/02/2020,8,4,1,-69.90,22940,Sell
20/02/2020,8,4,1,-69.00,22940,Sell
20/02/2020,8,4,1,-68.90,22946,Sell
20/02/2020,8,4,1,-68.00,22946,Sell
20/02/2020,8,4,1,-67.90,22971,Sell
20/02/2020,8,4,1,-65.00,22971,Sell
20/02/2020,8,4,1,-64.90,22978,Sell
20/02/2020,8,4,1,-64.80,23120,Sell
20/02/2020,8,4,1,-64.00,23120,Sell
20/02/2020,8,4,1,-63.90,23121,Sell
20/02/2020,8,4,1,-62.00,23121,Sell
20/02/2020,8,4,1,-61.90,23139,Sell
20/02/2020,8,4,1,-60.50,23139,Sell
20/02/2020,8,4,1,-60.40,23143,Sell
20/02/2020,8,4,1,-60.10,23143,Sell
20/02/2020,8,4,1,-60.00,23146,Sell
20/02/2020,8,4,1,-59.90,23148,Sell
20/02/2020,8,4,1,-59.00,23148,Sell
20/02/2020,8,4,1,-58.90,23148,Sell
20/02/2020,8,4,1,-58.00,23149,Sell
20/02/2020,8,4,1,-57.00,23150,Sell
20/02/2020,8,4,1,-56.00,23151,Sell
20/02/2020,8,4,1,-55.60,23152,Sell
20/02/2020,8,4,1,-55.20,23152,Sell
20/02/2020,8,4,1,-55.10,23152,Sell
20/02/2020,8,4,1,-55.00,23157,Sell
20/02/2020,8,4,1,-54.90,23181,Sell
20/02/2020,8,4,1,-54.60,23181,Sell
20/02/2020,8,4,1,-54.50,23181,Sell
20/02/2020,8,4,1,-54.00,23182,Sell
20/02/2020,8,4,1,-53.80,23182,Sell
20/02/2020,8,4,1,-53.00,23183,Sell
20/02/2020,8,4,1,-52.00,23184,Sell
20/02/2020,8,4,1,-51.00,23185,Sell
20/02/2020,8,4,1,-50.10,23186,Sell
20/02/2020,8,4,1,-50.00,23191,Sell
20/02/2020,8,4,1,-49.90,23311,Sell
20/02/2020,8,4,1,-49.00,23312,Sell
20/02/2020,8,4,1,-48.00,23313,Sell
20/02/2020,8,4,1,-47.00,23314,Sell
20/02/2020,8,4,1,-46.20,23315,Sell
20/02/2020,8,4,1,-46.10,23315,Sell
20/02/2020,8,4,1,-46.00,23316,Sell
20/02/2020,8,4,1,-45.10,23316,Sell
20/02/2020,8,4,1,-45.00,23316,Sell
20/02/2020,8,4,1,-44.50,23317,Sell
20/02/2020,8,4,1,-44.40,23357,Sell
20/02/2020,8,4,1,-44.00,23358,Sell
20/02/2020,8,4,1,-43.80,23358,Sell
20/02/2020,8,4,1,-43.00,23358,Sell
20/02/2020,8,4,1,-42.00,23360,Sell
20/02/2020,8,4,1,-41.00,23360,Sell
20/02/2020,8,4,1,-40.10,23361,Sell
